"BUSLIC_ID","BUSLIC_TRADE_NAME","BUSLIC_PHONE_NUM","NAICS DESC","ADDRESS","BUSLIC_OPENDATE","BUSLIC_BUSINESS_ID","WKT"
783974,"SALT & SUGAR CAFE AND BAKERY",2067081366,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","5615 24TH AVE NW # 102, SEATTLE, WA 98107-4156","03/01/2017",866305,"POINT (-122.388099 47.669935)"
741715,"COBBS",4254453171,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1500 WESTERN AVE, SEATTLE, WA 98101-1522","01/01/2019",831720,"POINT (-122.341188 47.608808)"
790801,"ALKI ICE CREAM & BUBBLE TEA",2063496233,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2622 ALKI AVE SW, SEATTLE, WA 98116-4726","05/05/2023",871624,"POINT (-122.40743 47.580065)"
776625,"BOBALUST",2062182891,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","4553 UNIVERSITY WAY NE, SEATTLE, WA 98105-4510","05/01/2022",860499,"POINT (-122.313404 47.66279)"
750398,"JOE & THE JUICE",4698775976,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2121 8TH AVE, SEATTLE, WA 98121","07/08/2019",838394,"POINT (-122.338506 47.616528)"
793496,"BPC SLU 2.0",2065880030,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2121 6TH AVE, SEATTLE, WA 98121-2933","09/25/2023",873775,"POINT (-122.340411 47.615307)"
765655,"CAN'T HOT",3127990076,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","523 MAYNARD AVE S, SEATTLE, WA 98104-2918","01/01/2021",851596,"POINT (-122.325367 47.597687)"
796792,"PJS CLASSIC HOMEMADE ICE CREAM & BON BONS",3235596968,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2334 E CHERRY ST, SEATTLE, WA 98122-4830","07/01/2024",814269,"POINT (-122.301841 47.60815)"
787594,"COCHE VALLEY DESSERT CAFE",5046164840,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","1424 E PINE ST, SEATTLE, WA 98122-4032","01/08/2023",869164,"POINT (-122.312967 47.615414)"
659547,"LADYBUG ESPRESSO",2068520642,"SNACK AND NONALCOHOLIC BEVERAGE BARS ","2901 4TH AVE S, SEATTLE, WA 98134-1914","09/02/2014",773299,"POINT (-122.329767 47.577538)"
