"OBJECTID","FULLNAME_L","FULLNAME_R","CITY_L","CITY_R","ZIP_L","ZIP_R","ROLL_LEN","Shape_Length","WKT"
101015,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98168,98168,15069.302,15069.3016621893,"LINESTRING (-122.276723 47.486067, -122.280343 47.488595, -122.280543 47.488743, -122.280706 47.488872, -122.280857 47.489002, -122.28101 47.489145, -122.281238 47.489387, -122.281441 47.489639, -122.281617 47.489899, -122.281766 47.490168, -122.281879 47.490421, -122.281968 47.490679, -122.282036 47.490955, -122.28211 47.491354, -122.282552 47.493881, -122.282636 47.494268, -122.282713 47.494517, -122.282818 47.494761, -122.28295 47.494999, -122.283109 47.49523, -122.283293 47.495451, -122.283403 47.495566, -122.28352 47.495678, -122.283755 47.495876, -122.284012 47.496061, -122.284245 47.496208, -122.284511 47.496359, -122.285612 47.496934, -122.285974 47.497133, -122.286153 47.497241, -122.286351 47.497369, -122.286518 47.497486, -122.286678 47.497607, -122.286854 47.49775, -122.287041 47.497916, -122.287217 47.498088, -122.287381 47.498265, -122.287517 47.498426, -122.287659 47.498612, -122.287774 47.498781, -122.287891 47.498975, -122.287984 47.499149, -122.288067 47.499327, -122.288139 47.499506, -122.288201 47.499689, -122.288279 47.499968, -122.288657 47.501459, -122.288723 47.501685, -122.288797 47.501897, -122.288927 47.502215, -122.290008 47.504653, -122.290107 47.5049, -122.290155 47.505061, -122.290182 47.505227, -122.290185 47.50538, -122.290164 47.505547, -122.290132 47.505671, -122.290086 47.505793, -122.290027 47.505912, -122.289964 47.506015, -122.28988 47.506128, -122.289795 47.506223, -122.289689 47.506326, -122.289585 47.506413, -122.289458 47.506505, -122.289337 47.506581, -122.289192 47.506659, -122.289056 47.506722, -122.288896 47.506786, -122.288748 47.506836, -122.288576 47.506883, -122.28842 47.506918, -122.288281 47.506942, -122.288122 47.506963, -122.287921 47.506982, -122.28771 47.506997, -122.281342 47.50732, -122.281013 47.507339, -122.280709 47.50737, -122.280426 47.507417, -122.28015 47.507482, -122.279886 47.507567, -122.279692 47.507644, -122.27949 47.50774, -122.2793 47.507847, -122.27914 47.507954, -122.278993 47.508069, -122.278847 47.508204, -122.278718 47.508347, -122.278617 47.508483, -122.278531 47.508624, -122.278469 47.508754, -122.278415 47.508902, -122.278378 47.509052, -122.278361 47.509171, -122.278352 47.50932, -122.27837 47.510094, -122.278397 47.510537, -122.27844 47.510946, -122.278598 47.512228, -122.278773 47.513404, -122.278807 47.513749, -122.278859 47.514522, -122.278991 47.515608, -122.279031 47.515827, -122.279232 47.516804, -122.279439 47.517702, -122.279579 47.518347)"
101016,"ST Light Rail","ST Light Rail","Seattle","Seattle",98118,98118,117.86,117.860227471628,"LINESTRING (-122.279638 47.518354, -122.279718 47.518673)"
101329,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,456.54,456.539788361766,"LINESTRING (-122.325046 47.577532, -122.324238 47.577477, -122.323989 47.577461, -122.323747 47.577452, -122.323461 47.57745, -122.323202 47.57745)"
101330,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98198,98198,1473.155,1473.15506196886,"LINESTRING (-122.297747 47.424635, -122.29786 47.423564, -122.297882 47.423378, -122.297885 47.423235, -122.297868 47.422748, -122.297856 47.422016, -122.297843 47.42168, -122.297828 47.421521, -122.297808 47.421333, -122.297751 47.420903, -122.297711 47.420604)"
101331,"ST Light Rail","ST Light Rail","SeaTac","SeaTac",98188,98188,8251.513,8251.51303947931,"LINESTRING (-122.286992 47.463691, -122.288653 47.464287, -122.289026 47.464418, -122.28917 47.464465, -122.289311 47.464503, -122.289492 47.464544, -122.289637 47.464567, -122.289766 47.464582, -122.289932 47.464592, -122.290075 47.464594, -122.29023 47.464589, -122.290413 47.46457, -122.290597 47.464544, -122.290748 47.464514, -122.290943 47.464467, -122.291155 47.464407, -122.291405 47.464321, -122.291604 47.464247, -122.291833 47.464151, -122.292039 47.464057, -122.292249 47.463954, -122.292431 47.463852, -122.292718 47.463676, -122.292974 47.463498, -122.296266 47.460907, -122.298917 47.458813, -122.299253 47.458536, -122.299518 47.458289, -122.29965 47.458149, -122.299773 47.458006, -122.299887 47.457858, -122.299991 47.457708, -122.300086 47.457554, -122.30017 47.457398, -122.300245 47.45724, -122.300309 47.457079, -122.300363 47.456917, -122.300406 47.456753, -122.300439 47.456588, -122.300463 47.4564, -122.300478 47.456185, -122.300484 47.455898, -122.300498 47.453317, -122.3005 47.453167, -122.300495 47.45301, -122.300484 47.452839, -122.300458 47.452665, -122.300424 47.45251, -122.300382 47.452353, -122.30032 47.452174, -122.30025 47.452001, -122.300179 47.451852, -122.300088 47.451693, -122.299997 47.451551, -122.299888 47.451403, -122.299764 47.451244, -122.299583 47.451042, -122.299425 47.450896, -122.299283 47.450777, -122.299221 47.450724, -122.299071 47.450611, -122.298926 47.450508, -122.298792 47.450416, -122.298562 47.45027, -122.298114 47.449984, -122.297907 47.449848, -122.297768 47.44975, -122.297694 47.449693, -122.297625 47.449637, -122.297549 47.449568, -122.297448 47.449464, -122.297361 47.449362, -122.297302 47.449277, -122.297252 47.449197, -122.297202 47.449106, -122.297163 47.449014, -122.297125 47.448908, -122.297102 47.448824, -122.29708 47.448718, -122.29707 47.448581, -122.297066 47.448381, -122.297062 47.447982)"
101361,"Westlake Sta AcRd","Westlake Sta AcRd","Seattle","Seattle",98181,98181,550.125,550.125179102564,"LINESTRING (-122.33797 47.611107, -122.337937 47.611124, -122.337581 47.611345, -122.336129 47.61195)"
101364,"Transit Tunnel AcRd","Transit Tunnel AcRd","Seattle","Seattle",98104,98104,361.55,361.550077360924,"LINESTRING (-122.328071 47.596586, -122.328103 47.597293, -122.328074 47.597354, -122.328011 47.59742, -122.327949 47.597477, -122.327918 47.597544)"
101366,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,101.897,101.897103505476,"LINESTRING (-122.323202 47.57745, -122.322789 47.57745)"
101367,"ST Light Rail","ST Light Rail","Tukwila","Tukwila",98188,98188,93.441,93.4411434491504,"LINESTRING (-122.287022 47.463653, -122.286688 47.463533)"
102206,"ST Light Rail","ST Light Rail","Seattle","Seattle",98134,98134,643.137,643.137352890242,"LINESTRING (-122.322282 47.577493, -122.323462 47.577493, -122.323675 47.577494, -122.323919 47.577501, -122.32423 47.57752, -122.324883 47.577564)"
